user_id,item_id,recommend,sentiment_analisys,modified_date,app_name&title
76561197970982479,1250,True,1,2011-11-05,Killing Floor
76561197970982479,22200,True,2,2011-07-15,Zeno Clash
76561197970982479,43110,True,1,2011-04-21,
js41637,251610,True,1,2014-06-24,
js41637,227300,True,1,2013-09-08,Euro Truck Simulator 2
js41637,239030,True,1,2013-11-29,"Papers, Please"
evcentric,248820,True,1,2020-02-03,Risk of Rain
evcentric,370360,True,2,2015-12-04,TIS-100
evcentric,237930,True,2,2014-11-03,Transistor
evcentric,263360,True,0,2014-10-15,3089 -- Futuristic Action RPG
evcentric,107200,True,1,2014-10-15,Space Pirates and Zombies
evcentric,224500,True,1,2014-10-15,Gnomoria
doctr,250320,True,1,2013-10-14,The Wolf Among Us
doctr,20920,True,1,2012-07-28,The Witcher 2: Assassins of Kings Enhanced Edition
doctr,204100,True,2,2012-06-02,Max Payne 3
doctr,224600,True,1,2014-06-29,Defiance
doctr,207610,True,0,2012-11-22,The Walking Dead
doctr,108710,True,2,2012-02-23,Alan Wake
maplemage,211420,True,1,2014-04-15,DARK SOULS™: Prepare To Die™ Edition
maplemage,211820,True,1,2013-12-23,Starbound
maplemage,730,True,2,2014-03-14,Counter-Strike: Global Offensive
maplemage,204300,True,2,2013-07-11,Awesomenauts - the 2D moba
Wackky,249130,True,0,2014-05-05,LEGO® Marvel™ Super Heroes
Wackky,207610,True,1,2012-12-24,The Walking Dead
Wackky,550,True,1,2012-10-21,Left 4 Dead 2
Wackky,65800,True,0,2012-03-20,Dungeon Defenders
Wackky,220,True,1,2012-03-09,Half-Life 2
76561198079601835,730,True,1,2020-05-20,Counter-Strike: Global Offensive
MeaTCompany,730,True,1,2020-07-24,Counter-Strike: Global Offensive
76561198089393905,72850,True,0,2015-02-01,
76561198089393905,440,True,1,2014-06-20,Team Fortress 2
76561198156664158,252950,True,2,2020-06-16,Rocket League®
76561198077246154,440,True,1,2020-06-11,Team Fortress 2
76561198077246154,304930,True,1,2014-08-25,Unturned
WeiEDKrSat,4000,True,1,2013-12-25,Garry's Mod
thequeenpanda,42910,True,1,2012-06-23,Magicka
death-hunter,232090,True,1,2015-09-05,Killing Floor 2
death-hunter,1250,True,1,2015-03-30,Killing Floor
death-hunter,4000,True,2,2014-02-19,Garry's Mod
DJKamBer,304930,True,1,2014-07-14,Unturned
DJKamBer,570,True,2,2013-04-27,Dota 2
DJKamBer,218620,True,1,2015-07-20,PAYDAY 2
DJKamBer,224260,True,1,2013-11-04,No More Room in Hell
DJKamBer,1250,True,1,2013-07-12,Killing Floor
DJKamBer,440,True,1,2012-08-19,Team Fortress 2
Rainbow-Dashie,730,True,2,2015-06-19,Counter-Strike: Global Offensive
Rainbow-Dashie,440,True,1,2014-09-20,Team Fortress 2
Rainbow-Dashie,49520,True,0,2014-09-07,Borderlands 2
76561198043472122,33440,False,0,2014-12-19,
MarbleShrine,220200,True,1,2015-02-17,Kerbal Space Program
PPanther,211820,True,1,2014-06-07,Starbound
devvonst,440,True,2,2014-02-12,Team Fortress 2
devvonst,218740,True,1,2014-02-09,Pid
devvonst,550,True,2,2015-10-31,Left 4 Dead 2
Fr0stedLine,220,True,2,2020-02-27,Half-Life 2
starkillershadow553,238090,True,1,2015-02-04,Sniper Elite 3
starkillershadow553,242130,True,1,2020-08-23,Vector Thrust
starkillershadow553,277430,True,1,2014-04-05,Halo: Spartan Assault
76561198058373434,8870,True,1,2015-01-08,BioShock Infinite
76561198048353577,368230,True,1,2015-10-26,Kingdom: Classic
76561198048353577,4000,True,2,2020-05-16,Garry's Mod
76561198048353577,33930,True,1,2013-03-20,Arma 2: Operation Arrowhead
76561198066046412,359320,False,0,2015-12-28,Elite Dangerous
76561198066046412,219640,True,2,2015-05-19,Chivalry: Medieval Warfare
tru_mu_,287980,True,1,2015-12-15,Mini Metro
76561198070565427,218620,True,1,2020-03-31,PAYDAY 2
76561198070565427,208090,True,1,2015-08-21,Loadout
76561198070565427,242700,True,1,2014-10-17,Injustice: Gods Among Us Ultimate Edition
76561198070565427,570,False,1,2014-06-27,Dota 2
76561198070565427,224260,True,1,2014-04-28,No More Room in Hell
SavageEeEe,221100,True,1,2015-11-12,DayZ
76561198076909484,570,True,0,2014-06-18,Dota 2
KanadeTheNeko,331470,True,2,2014-11-20,Everlasting Summer
KanadeTheNeko,4000,True,1,2014-05-29,Garry's Mod
Leaf_Light_Moscow,323370,True,2,2020-07-09,TERA
GoAwayZach,304930,True,2,2014-12-29,Unturned
76561198054540475,12210,True,1,2015-02-13,
76561198054540475,265210,True,1,2014-12-26,
76561198054540475,48700,True,1,2014-02-04,Mount & Blade: Warband
76561198085547365,238460,True,2,2020-06-16,BattleBlock Theater®
76561198085547365,34900,True,2,2020-06-16,Bad Rats: the Rats' Revenge
76561198061252210,730,True,1,2015-05-21,Counter-Strike: Global Offensive
OfficialShroomsy,113200,True,1,2013-12-06,The Binding of Isaac
boydeer,440,True,1,2014-05-12,Team Fortress 2
boydeer,383080,False,1,2015-08-24,
VVillis,213670,True,1,2015-01-06,South Park™: The Stick of Truth™
76561198083226897,105600,True,1,2015-12-22,Terraria
76561198075277292,730,True,1,2015-06-23,Counter-Strike: Global Offensive
76561198075277292,570,True,1,2015-09-11,Dota 2
76561198028895010,231180,True,1,2013-04-22,
76561198028895010,620,True,2,2012-05-27,Portal 2
76561198170198366,271290,True,1,2020-01-18,
diego9031,4000,True,1,2020-07-30,Garry's Mod
diego9031,317360,True,1,2020-07-28,Double Action: Boogaloo
diego9031,223710,True,1,2015-12-05,Cry of Fear
diego9031,299360,True,1,2015-10-04,Block N Load
diego9031,322330,True,1,2015-10-03,Don't Starve Together
diego9031,1250,True,1,2015-08-13,Killing Floor
diego9031,12100,True,1,2015-02-22,Grand Theft Auto III
diego9031,204360,True,2,2015-01-14,Castle Crashers®
diego9031,440,True,0,2013-12-14,Team Fortress 2
diego9031,224260,True,1,2013-12-01,No More Room in Hell
jarrodtrim,440,True,2,2012-02-11,Team Fortress 2
76561198078738103,304930,True,1,2020-02-20,Unturned
76561198067936203,440,True,1,2015-03-12,Team Fortress 2
76561198079770573,1840,True,1,2015-10-14,Source Filmmaker
76561198087586464,440,True,1,2013-10-27,Team Fortress 2
Derp-e,440,True,1,2015-11-27,Team Fortress 2
76561198070194565,233250,True,1,2014-10-09,
76561198070194565,449140,True,1,2020-05-07,Istrolid
76561198070194565,368730,True,1,2020-05-07,No Time To Explain Remastered
76561198070194565,246280,True,1,2020-04-04,
76561198070194565,427270,True,2,2020-03-30,Orcs Must Die! Unchained
76561198070194565,397100,True,1,2020-03-28,MachineCraft
76561198070194565,248570,True,1,2015-11-09,Toribash
Rivtex,298630,True,1,2015-12-23,The Escapists
UTNerd24,244210,True,1,2014-05-06,Assetto Corsa
UTNerd24,440,True,1,2015-12-02,Team Fortress 2
UTNerd24,376920,True,1,2015-06-06,Tiki Man
UTNerd24,257750,True,1,2015-09-29,Bloody Trapland
UTNerd24,221910,True,1,2014-09-08,The Stanley Parable
UTNerd24,2280,True,2,2013-12-15,Ultimate Doom
sandwiches1,417860,False,1,2015-11-23,Emily is Away
76561198138053270,218620,True,1,2014-06-01,PAYDAY 2
lucaswerg,218620,True,1,2014-07-11,PAYDAY 2
lucaswerg,222880,True,1,2014-11-14,Insurgency
Life-Of-Blu,377160,True,1,2015-11-13,Fallout 4
Life-Of-Blu,211820,True,1,2013-12-15,Starbound
CaptianAutismo,252490,True,1,2015-12-17,Rust
76561198075895633,440,True,1,2014-10-26,Team Fortress 2
TheDropix101,242920,True,1,2020-01-11,Banished
kube134,251990,True,2,2014-06-28,Long Live The Queen
iamthekingofbrowntown,344760,False,0,2015-09-12,Reign Of Kings
iamthekingofbrowntown,252950,True,1,2015-09-13,Rocket League®
iamthekingofbrowntown,236430,True,1,2020-04-20,DARK SOULS™ II
iamthekingofbrowntown,399730,True,1,2015-10-14,Rocket League® - Revenge of the Battle-Cars DLC Pack
MainScout,550,True,1,2020-02-26,Left 4 Dead 2
yookobz,377160,True,2,2015-11-19,Fallout 4
yookobz,219150,True,2,2013-06-25,Hotline Miami
Posiblydead,277430,True,1,2014-04-11,Halo: Spartan Assault
Posiblydead,239820,True,1,2014-02-22,Game Dev Tycoon
Posiblydead,17410,True,1,2012-09-24,Mirror's Edge™
Mossy_Gaming,440,True,2,2015-09-26,Team Fortress 2
76561198102421718,270550,True,1,2015-06-12,Yet Another Zombie Defense
76561198102421718,274940,True,1,2015-08-03,Depth
76561198102421718,333930,True,1,2015-06-26,Dirty Bomb®
76561198087407319,440,True,0,2014-01-15,Team Fortress 2
76561198056741844,730,True,1,2014-10-14,Counter-Strike: Global Offensive
sad-commie,294100,True,1,2020-08-31,RimWorld
sad-commie,212070,True,1,2014-07-09,Star Conflict
sad-commie,264140,True,1,2014-03-13,Pixel Piracy
76561198030567998,332800,True,1,2014-11-11,Five Nights at Freddy's 2
76561198030567998,319630,True,1,2015-07-21,Life is Strange - Episode 1
76561198030567998,6020,True,1,2015-07-05,STAR WARS™ Jedi Knight - Jedi Academy™
76561198030567998,55230,True,1,2015-03-12,Saints Row: The Third
76561198030567998,32430,True,1,2014-02-23,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
