index,user_id,item_id,playtime_forever
587715,wolop,4000,642773
2499068,Evilutional,212200,635295
4075729,76561198019826668,42710,632452
1495340,76561198039832932,4000,613411
1836985,tsunamitad,72200,600068
236899,jimmynoe,4000,551719
1928125,shinomegami,8500,530882
2905355,lildoughnut,4000,501498
3212940,ThisIsWhereIGetOff,4000,495058
1026264,76561197977470391,320,493791
2420572,Nuclueus,4000,492810
3847734,theoriginalmasta,240,479117
3327691,76561198063368177,47410,439912
231613,Jaxon1049,4000,428012
441931,streetjimmy,8930,425437
1977818,765611983889673,4000,421652
710402,76561198027114566,240,411019
1425068,poedgirl,113400,408492
3725610,laumir,230410,406717
870624,76561198033862482,8930,405906
29909,Forty-Nine,313740,400827
1694770,tinyrickexclamationmark,4000,389954
2339077,crustyoldkiller,240,388621
459643,H-O-B-O,4000,376859
1989932,e54385991,730,376267
465564,thiefofrosesinlalaland,99900,369597
190851,76561197961702279,1250,366892
704001,76561198027406146,39120,363147
2976985,clawbot44,4000,361496
3346195,KittensScythe,4000,359974
2775463,jiumohoo,10,356217
1114473,saltymotherfucker,4000,354445
3833323,Rafske,240,348771
4498897,76561198055326819,4000,344931
1847486,Liberityneverdies,4000,344266
410321,benjamingarrison,346900,342885
2620609,stopgovtcorruption,550,342805
1462291,red-acted,730,341723
2398115,76561198069139035,4000,341141
1177211,KingXRay,39210,338572
4492979,76561198054840158,268420,337453
919811,GremoryEagle,4000,336763
2015496,76561197984830126,240,335029
234571,idonothack,363970,333482
4025308,sexysob,4000,331437
1446273,76561197969956494,550,329639
3217817,76561198041627248,201230,328984
2127020,Onemaponly,550,327846
4731722,76561198069163682,113400,324481
4254471,DarrenDingo,4000,324449
2420051,dkzinhoo,730,323655
912326,awpsum,4000,315615
3779229,756755557153145,48700,312547
3624751,triggernyar,39210,311407
444934,76561198038513068,236850,308612
3965135,mittensgalore,240,306207
2034522,76561198075760634,212910,304229
9010,76561198078738103,4000,303466
1039008,76561198059622971,4000,303106
2021538,ILDHAM123,550,301383
170256,76561197978756659,252490,299191
217766,Icebrrg1245,39210,298864
1849106,76561198072608814,4000,298073
3895483,76561197982545852,240,297191
437115,wobblestar,4000,297173
296782,76561198063378113,39210,296470
3923740,SYSTEMK,42710,295701
3096604,Sean630,730,294184
2655187,bigHAZZApreb,730,293468
4697537,BigDogSteeeeeeze,730,292882
259852,laerte261,107410,290153
1461762,76561198063648921,4000,289102
1017652,GOBS14,240,287002
2689392,76561198020704738,218230,285863
4066218,76561198018597938,202990,285798
165469,Bu113ts,4000,285100
316114,dbsgptjd966,550,284412
3317398,76561198060457375,730,283666
539623,76561198088865993,4000,280205
1394936,pandaaus,240,279801
4372396,76561198046263983,4000,279380
4897452,76561198079986661,4000,278189
5108704,76561198111731944,243870,278011
3726009,dethonador,230410,277214
3730970,yAKKKa,4000,276710
1384777,76561198064317610,4000,276415
792168,76561198063765495,4000,276263
1310182,76561198050246852,4000,275455
147822,76561198100205554,4000,275087
999183,76561198032459795,203770,274817
479694,Twat3021,730,272906
3604241,tobscene,363970,272722
2134787,NewandImprovedDashie,4000,272581
1324331,mutatedwombat,326160,271857
918733,76561198046914681,323370,271109
956137,FatChicken420,4000,268248
1371075,oakex,4000,267692
3949704,1UK33Y,240,267572
3005338,P06O,230410,266764
2708223,JustIcey,4000,266683
2939540,76561198047515471,4000,266307
533084,76561198091152936,4000,265489
597142,GAMESNIPERSTUDIOS,4000,265009
63536,76561198035548591,42710,264716
2152021,batmun1989,4000,264332
4186841,TKOZ,550,264301
3796064,76561198046250018,36620,264270
1214620,litoki,730,262665
3889013,76561197979489134,240,261949
1593951,Sp3ctre,730,260875
3863358,Spludge,402840,260155
387454,rinco69,293260,260028
2248687,TheLandOfTheCalTheSpy,4000,258505
3243472,qqmp,237310,256539
3781846,76561198046776854,4000,255986
4645,thequeenpanda,4000,255613
3843230,Drxoid,730,253993
3574693,TheGamingHeadcrab,4000,253631
1133376,jetfire60,4000,251218
3098226,pharonmix,4000,250437
2851782,daymm,4000,249364
1731340,UnethicalPanda,113400,247834
4310416,mazza2210,8930,247506
1652672,76561198054224756,4000,246567
3921578,WrightTheWrong,4000,245539
3368763,jlulveior,4000,244491
24944,76561198044169764,4000,244352
2186250,76561198014969917,550,244063
5169,death-hunter,4000,243840
4662042,76561198065389357,4000,242633
851795,dascorpi0n,4000,242588
496054,jwatt1991,402840,242352
2949713,MaddyS99,105600,242217
1639556,Sloth--,4000,242209
906136,DoctorSpaceman,234330,242157
417892,andrewjohn,10,242146
1950267,bantiacmd,4000,240854
3945885,76561197996330176,10,240426
3164030,Overwhelmer,346900,238968
447928,76561198002009906,240,238394
311289,julius13,230410,237539
3136878,hashtaglmao,4000,236811
3133980,76561198040055640,4000,235726
62233,AgentXiri,230410,234315
384972,de_reyals,730,234222
2013137,76561198064619260,730,234181
187368,76561198080826588,72850,233768
4031063,augriD,240,233650
2134964,DerShpee,230410,232734
2987730,mblades,218230,232017
563818,Aussiefella_69,730,231839
359294,76561198030382508,34030,231595
5015880,76561198090486706,226320,231136
4200828,76561198035591272,220200,230856
2756670,FvckkMyOppz,4000,230352
1939001,TURTLESYEA,240,230158
92814,76561198052180785,4000,230105
4838080,MinuteAce123,10190,230003
3780182,76561198074103221,4000,229770
1971930,mewmeowmeowmew,730,229201
3480159,129874182,4000,228227
1964100,76561198091671832,4000,227736
83592,76561198105270589,4000,227193
1633236,76561197961718947,8930,226992
412707,Shemhamphorasch,4000,226987
340923,dunnowhy54,550,224800
48805,76561198099625419,730,223614
328741,76561198069839491,363970,223568
3176992,76561198116741624,730,223513
4640619,Sekekai,9880,222547
1775927,PBCharlie,730,222269
3115273,truewarrior94,730,222070
1850561,5856565456564,4000,221446
1338011,imprisonmike,238960,221400
892049,DodgM8,17080,221216
1172210,technique1989,240,220400
308495,76561198086665451,4000,220320
2443690,thefourdigit,730,219968
1566358,Elite911,4000,219730
1993370,CalvinHazard,730,219448
143251,76561197994136663,363970,219391
2343466,johnvu3,359050,219151
1623750,_Supanova_,107410,219081
669276,Dayyyy,730,219056
2221159,cywabcoylttdtabistsiaeyclalumb,1250,218837
4490614,76561198054680543,363970,218505
259138,lambdaop,4000,218214
4504908,76561198055783857,346900,217975
4117197,imjordan49,42710,217544
390503,76561198044236862,72850,217085
305165,76561198074009738,730,216412
184258,76561198089131001,4000,216383
324352,HailAmeixing,107410,215388
615711,76561198030902576,9900,215135
679452,76561198050868578,4000,214856
1216373,lizzygson,10,214451
3183531,Rebound780,4000,214435
852754,76561198089766169,4000,214220
1240312,tankedout,4560,214202
1105548,iqu23,47410,214130
2728199,76561198029584773,266430,213969
1805926,patientjuNKY,730,213611
523546,76561198016750146,4000,213249
3327096,76561198022829165,730,213088
3997839,76561198006084032,233450,213024
3852646,SuNNZ,550,212710
3176334,76561197992387090,730,212680
2693329,HunteR_au,730,212654
155460,Efreak,99900,212650
3075976,chungdogmillionaire,730,212645
109378,SirParadiseLost,39210,212344
1165276,76561197984211461,230410,212318
2630215,76561198074736789,346110,212089
436079,76561198039700455,230410,211915
1552033,whisperrrrrrr,730,211693
388082,rixs,212160,211608
4748115,76561198070165231,8930,211101
4039534,76561198013535509,4000,210980
2123964,76561198064765769,730,210949
3967387,kafei0328,550,210639
3006409,TehMev,240,209389
4481500,76561198054085200,4000,209387
2370255,76561197960478966,730,209275
3223825,76561198079680944,230410,209095
2037691,76561198118542277,730,209079
1494484,76561198002170343,240,209032
3409393,SkecksCSGO,730,208406
3758087,76561197972452208,363970,208014
3559858,76561197997775264,228200,207860
2353165,76561198082590747,4000,207715
76014,76561198073642113,268850,207651
3882722,jr10,240,207168
2548461,Francyum,730,206973
1905446,76561197977246575,4000,206843
2247174,wouldyoukindly96,4000,206809
3661906,Bl10ckade,4000,206566
483033,76561198036460233,363970,206403
368127,Quarterback31619,8930,206216
3511080,T1TanZ,730,206143
1620649,76561198027093071,240,205987
1212985,ryanflyin13,4000,205954
1636744,76561198073043666,304030,205822
199959,DeliciousPuddin,4000,205755
26158,76561198003688205,10,205234
3908848,octoisdabest,4000,205219
307970,76561198004054009,230410,205135
134379,DemonThunder,4000,204829
2892908,lemage95,39210,204677
333393,PiozZ,730,204563
282561,Bballguy111,200210,204182
1700423,Tohic,730,203743
1277867,MidnightEmperor,4000,203421
284474,76561198060407701,200210,203045
4046817,76561198015120093,240,202991
3949807,76561197997316526,240,202951
918348,Asyamercilicious,4000,202538
2450456,Dropbearownage,218230,202520
246887,KSAC,107410,202381
293444,edilsoncordeiro,80,202226
2985888,mayaismywife,730,202127
928951,elektro_haus,4000,201950
328089,OdetteArt,48700,201817
2055478,adosattack,218230,201654
3247473,76561198063076399,212160,201568
29706,76561198016685643,550,201467
5132565,talibanstorm,730,201190
295633,SwinburnCyphenMisslemike,4000,200974
3090731,guwopguccimane,252490,200926
1738983,mrhuffenpuff,730,200880
